ID,simSEED,sampleSEED,rms,noiseSIGMA,bendfreq,lowalpha,highalpha,sharpness,WINDOWwidth,NightsperWINDOW,OBSperiod,NumofWINDOW,dataLOSSfrac
1000.0,24411.0,22633.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1001.0,71294.0,14963.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1002.0,46272.0,31962.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1003.0,49208.0,96074.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1004.0,43313.0,77437.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1005.0,73752.0,9499.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1006.0,10616.0,7479.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1007.0,85456.0,25942.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1008.0,28910.0,43992.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1009.0,24503.0,39883.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1010.0,70156.0,72.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1011.0,17004.0,32517.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1012.0,77256.0,72580.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1013.0,20445.0,88701.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1014.0,62284.0,47657.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1015.0,34579.0,7391.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1016.0,89982.0,79554.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1017.0,9898.0,24859.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1018.0,32157.0,66122.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1019.0,26514.0,28961.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1020.0,67261.0,14840.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1021.0,80655.0,15281.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1022.0,68322.0,69908.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1023.0,28498.0,27596.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1024.0,79592.0,1288.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1025.0,44372.0,82754.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1026.0,33949.0,20982.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1027.0,31245.0,70457.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1028.0,23492.0,694.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1029.0,19692.0,28737.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1030.0,87148.0,2217.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1031.0,95714.0,96660.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1032.0,34428.0,39214.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1033.0,33505.0,43855.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1034.0,2144.0,57930.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1035.0,92425.0,28324.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1036.0,76310.0,59.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1037.0,65640.0,84511.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1038.0,73690.0,23605.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1039.0,6976.0,33993.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1040.0,20791.0,58488.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1041.0,51879.0,66065.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1042.0,74112.0,95896.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1043.0,8424.0,76922.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1044.0,30990.0,29725.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1045.0,9078.0,72961.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1046.0,44776.0,34265.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1047.0,75636.0,87945.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1048.0,63095.0,31008.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1049.0,84305.0,60504.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1050.0,28117.0,68903.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1051.0,14165.0,8215.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1052.0,28556.0,18858.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1053.0,21738.0,41257.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1054.0,64068.0,2171.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1055.0,31660.0,52222.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1056.0,44850.0,82881.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1057.0,19198.0,16523.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1058.0,32902.0,92065.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1059.0,9752.0,64830.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1060.0,5886.0,1412.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1061.0,76210.0,56139.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1062.0,45137.0,29930.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1063.0,47670.0,84533.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1064.0,69417.0,39586.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1065.0,10644.0,48695.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1066.0,61779.0,44681.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1067.0,6507.0,78654.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1068.0,80722.0,79561.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1069.0,36761.0,17031.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1070.0,42121.0,3343.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1071.0,80522.0,39948.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1072.0,28591.0,72971.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1073.0,5755.0,45493.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1074.0,85260.0,13298.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1075.0,85291.0,53581.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1076.0,79780.0,45327.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1077.0,3907.0,57889.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1078.0,21289.0,44460.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1079.0,43967.0,62828.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1080.0,32220.0,5549.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1081.0,28949.0,28847.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1082.0,35971.0,26099.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1083.0,14923.0,92180.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1084.0,57958.0,3082.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1085.0,9675.0,11216.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1086.0,22806.0,44489.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1087.0,74157.0,28957.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1088.0,61248.0,21496.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1089.0,59104.0,61450.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1090.0,84262.0,78557.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1091.0,74646.0,18892.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1092.0,8069.0,62094.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1093.0,78731.0,48746.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1094.0,96005.0,92364.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1095.0,76998.0,57766.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1096.0,18471.0,56954.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1097.0,53663.0,90435.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1098.0,95358.0,68383.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1099.0,60051.0,28173.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,60.0,40,12,6,0.2
1100.0,24411.0,22633.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1101.0,71294.0,14963.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1102.0,46272.0,31962.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1103.0,49208.0,96074.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1104.0,43313.0,77437.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1105.0,73752.0,9499.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1106.0,10616.0,7479.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1107.0,85456.0,25942.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1108.0,28910.0,43992.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1109.0,24503.0,39883.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1110.0,70156.0,72.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1111.0,17004.0,32517.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1112.0,77256.0,72580.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1113.0,20445.0,88701.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1114.0,62284.0,47657.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1115.0,34579.0,7391.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1116.0,89982.0,79554.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1117.0,9898.0,24859.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1118.0,32157.0,66122.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1119.0,26514.0,28961.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1120.0,67261.0,14840.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1121.0,80655.0,15281.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1122.0,68322.0,69908.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1123.0,28498.0,27596.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1124.0,79592.0,1288.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1125.0,44372.0,82754.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
1126.0,33949.0,20982.0,0.15,0.015,0.0027397260273972603,-1.0,-3.0,10.0,90.0,40,12,6,0.2
